speed,heading_error,checkpoint_distance,ray_0_front,ray_1_+45,ray_2_+90,ray_3_+135,ray_4_back,ray_5_-135,ray_6_-90,ray_7_-45,ground_friction,throttle,steering
13.7389,-0.4213,42.9950,4.0279,50.0000,40.9791,28.8578,40.6444,50.0000,4.7812,2.9760,0.4000,1.0000,0.0000
13.7640,-0.4216,42.4987,4.0342,50.0000,41.8801,29.1659,40.6323,50.0000,4.7934,2.9852,0.4000,1.0000,0.0000
13.7656,-0.3817,41.9913,3.9298,50.0000,44.7627,29.5536,39.1966,50.0000,5.1271,3.0212,0.4000,1.0000,1.0000
13.6160,-0.3105,41.4741,3.8319,50.0000,50.0000,30.1655,37.1121,50.0000,5.9995,3.1504,0.4000,1.0000,1.0000
13.9295,-0.2809,40.9438,3.7190,50.0000,50.0000,30.7560,36.5194,50.0000,6.3111,3.1446,0.4000,1.0000,0.0000
13.6948,-0.2717,40.3925,3.6626,50.0000,50.0000,31.2860,36.5180,50.0000,6.3683,3.1182,0.4000,1.0000,0.0000
13.6518,-0.2675,39.8436,3.8459,50.0000,50.0000,31.8054,36.6703,50.0000,6.7570,3.2643,0.4000,1.0000,0.0000
14.0060,-0.2775,39.2744,3.7942,50.0000,50.0000,32.2597,37.1941,50.0000,6.4014,3.1820,0.4000,1.0000,0.0000
13.7286,-0.2277,38.6938,3.7134,50.0000,50.0000,33.2332,36.4279,50.0000,7.2980,3.2568,0.4000,1.0000,1.0000
13.7433,-0.1665,38.1110,3.7226,50.0000,50.0000,34.5168,35.6674,50.0000,9.3937,3.4264,0.7000,1.0000,1.0000
13.5326,-0.1078,37.5133,3.5870,50.0000,50.0000,36.0245,35.1836,50.0000,50.0000,3.4661,0.7000,1.0000,0.0000
13.3780,-0.0999,36.9218,3.6288,50.0000,50.0000,36.8465,35.4860,50.0000,50.0000,3.5070,0.7000,1.0000,0.0000
13.1554,-0.0986,36.3331,3.7540,50.0000,50.0000,37.5720,35.8836,50.0000,50.0000,3.6026,0.7000,1.0000,0.0000
13.3299,-0.1071,35.7433,3.7579,50.0000,50.0000,38.1366,36.4227,50.0000,50.0000,3.5534,0.7000,1.0000,0.0000
12.9312,-0.0761,35.1527,3.8001,50.0000,50.0000,39.4776,36.4853,50.0000,50.0000,3.6603,0.7000,1.0000,1.0000
12.9391,-0.0062,34.5644,3.7627,50.0000,50.0000,41.9216,36.2703,50.0000,50.0000,3.8223,0.8000,1.0000,0.0000
13.0189,-0.0035,33.9692,3.8614,50.0000,50.0000,42.8393,36.7304,50.0000,50.0000,3.9014,0.8000,1.0000,0.0000
13.0269,-0.0060,33.3632,3.9521,50.0000,50.0000,43.6342,37.2507,50.0000,50.0000,3.9223,0.8000,1.0000,0.0000
13.1124,-0.0057,32.7481,4.0384,50.0000,50.0000,44.5285,37.7660,50.0000,50.0000,3.9659,0.8000,1.0000,0.0000
13.2410,-0.0021,32.1267,4.1800,50.0000,50.0000,45.5423,38.2706,50.0000,50.0000,4.0599,0.9000,1.0000,0.0000
13.5638,-0.0048,31.4915,4.3303,50.0000,50.0000,46.3925,38.8447,50.0000,50.0000,4.0926,0.9000,1.0000,0.0000
13.7566,-0.0062,30.8384,4.4482,50.0000,50.0000,47.3132,39.4306,50.0000,50.0000,4.1510,0.9000,1.0000,0.0000
13.9805,-0.0045,30.1693,4.6348,50.0000,50.0000,48.3633,40.0145,50.0000,50.0000,4.2157,0.9000,1.0000,0.0000
12.9506,0.0268,29.5359,5.9718,50.0000,50.0000,50.0000,40.3722,50.0000,50.0000,5.4453,0.9000,1.0000,0.0000
13.5436,0.0207,28.8992,7.3724,50.0000,50.0000,50.0000,40.9906,50.0000,50.0000,6.3679,0.9000,1.0000,0.0000
14.1162,0.0146,28.2302,8.6770,50.0000,50.0000,50.0000,41.6434,50.0000,50.0000,6.9934,0.9000,1.0000,0.0000
14.7892,0.0086,27.5293,9.7776,50.0000,50.0000,50.0000,42.3319,50.0000,50.0000,7.2622,1.0000,1.0000,0.0000
15.4962,0.0026,26.7910,10.6237,50.0000,50.0000,50.0000,43.0605,50.0000,50.0000,7.1953,1.0000,1.0000,0.0000
16.1747,-0.0034,26.0160,10.7085,50.0000,50.0000,50.0000,43.8271,50.0000,50.0000,6.6926,1.0000,1.0000,0.0000
16.8250,-0.0095,25.2062,9.6644,50.0000,50.0000,50.0000,44.6300,50.0000,50.0000,5.8408,1.0000,1.0000,0.0000
17.4475,-0.0157,24.3631,7.5072,50.0000,50.0000,50.0000,45.4673,50.0000,50.0000,4.6240,1.0000,1.0000,0.0000
16.6505,0.0454,23.5368,8.3859,50.0000,49.6153,50.0000,45.9612,50.0000,50.0000,5.1096,1.0000,1.0000,0.0000
16.9351,0.0539,22.7069,50.0000,50.0000,49.3444,50.0000,46.7421,50.0000,50.0000,5.4114,1.0000,1.0000,0.0000
17.3176,0.0500,21.8574,50.0000,50.0000,49.1199,50.0000,47.5769,50.0000,50.0000,5.7521,1.0000,1.0000,0.0000
17.7283,0.0448,20.9853,50.0000,50.0000,48.9072,50.0000,48.4400,50.0000,50.0000,5.9262,1.0000,1.0000,0.0000
17.6933,0.0496,20.0953,50.0000,50.0000,48.6843,50.0000,49.2949,50.0000,50.0000,6.4605,1.0000,1.0000,0.0000
